Tournament nº,PaladinvsRogue,PaladinvsRogue played,PaladinvsMage,PaladinvsMage played,PaladinvsDruid,PaladinvsDruid played,PaladinvsDemonhunter,PaladinvsDemonhunter played,PaladinvsHunter,PaladinvsHunter played,PaladinvsPriest,PaladinvsPriest played,PaladinvsShaman,PaladinvsShaman played,PaladinvsWarlock,PaladinvsWarlock played,PaladinvsWarrior,PaladinvsWarrior played,RoguevsPaladin,RoguevsPaladin played,RoguevsMage,RoguevsMage played,RoguevsDruid,RoguevsDruid played,RoguevsDemonhunter,RoguevsDemonhunter played,RoguevsHunter,RoguevsHunter played,RoguevsPriest,RoguevsPriest played,RoguevsShaman,RoguevsShaman played,RoguevsWarlock,RoguevsWarlock played,RoguevsWarrior,RoguevsWarrior played,MagevsPaladin,MagevsPaladin played,MagevsRogue,MagevsRogue played,MagevsDruid,MagevsDruid played,MagevsDemonhunter,MagevsDemonhunter played,MagevsHunter,MagevsHunter played,MagevsPriest,MagevsPriest played,MagevsShaman,MagevsShaman played,MagevsWarlock,MagevsWarlock played,MagevsWarrior,MagevsWarrior played,DruidvsPaladin,DruidvsPaladin played,DruidvsRogue,DruidvsRogue played,DruidvsMage,DruidvsMage played,DruidvsDemonhunter,DruidvsDemonhunter played,DruidvsHunter,DruidvsHunter played,DruidvsPriest,DruidvsPriest played,DruidvsShaman,DruidvsShaman played,DruidvsWarlock,DruidvsWarlock played,DruidvsWarrior,DruidvsWarrior played,DemonhuntervsPaladin,DemonhuntervsPaladin played,DemonhuntervsRogue,DemonhuntervsRogue played,DemonhuntervsMage,DemonhuntervsMage played,DemonhuntervsDruid,DemonhuntervsDruid played,DemonhuntervsHunter,DemonhuntervsHunter played,DemonhuntervsPriest,DemonhuntervsPriest played,DemonhuntervsShaman,DemonhuntervsShaman played,DemonhuntervsWarlock,DemonhuntervsWarlock played,DemonhuntervsWarrior,DemonhuntervsWarrior played,HuntervsPaladin,HuntervsPaladin played,HuntervsRogue,HuntervsRogue played,HuntervsMage,HuntervsMage played,HuntervsDruid,HuntervsDruid played,HuntervsDemonhunter,HuntervsDemonhunter played,HuntervsPriest,HuntervsPriest played,HuntervsShaman,HuntervsShaman played,HuntervsWarlock,HuntervsWarlock played,HuntervsWarrior,HuntervsWarrior played,PriestvsPaladin,PriestvsPaladin played,PriestvsRogue,PriestvsRogue played,PriestvsMage,PriestvsMage played,PriestvsDruid,PriestvsDruid played,PriestvsDemonhunter,PriestvsDemonhunter played,PriestvsHunter,PriestvsHunter played,PriestvsShaman,PriestvsShaman played,PriestvsWarlock,PriestvsWarlock played,PriestvsWarrior,PriestvsWarrior played,ShamanvsPaladin,ShamanvsPaladin played,ShamanvsRogue,ShamanvsRogue played,ShamanvsMage,ShamanvsMage played,ShamanvsDruid,ShamanvsDruid played,ShamanvsDemonhunter,ShamanvsDemonhunter played,ShamanvsHunter,ShamanvsHunter played,ShamanvsPriest,ShamanvsPriest played,ShamanvsWarlock,ShamanvsWarlock played,ShamanvsWarrior,ShamanvsWarrior played,WarlockvsPaladin,WarlockvsPaladin played,WarlockvsRogue,WarlockvsRogue played,WarlockvsMage,WarlockvsMage played,WarlockvsDruid,WarlockvsDruid played,WarlockvsDemonhunter,WarlockvsDemonhunter played,WarlockvsHunter,WarlockvsHunter played,WarlockvsPriest,WarlockvsPriest played,WarlockvsShaman,WarlockvsShaman played,WarlockvsWarrior,WarlockvsWarrior played,WarriorvsPaladin,WarriorvsPaladin played,WarriorvsRogue,WarriorvsRogue played,WarriorvsMage,WarriorvsMage played,WarriorvsDruid,WarriorvsDruid played,WarriorvsDemonhunter,WarriorvsDemonhunter played,WarriorvsHunter,WarriorvsHunter played,WarriorvsPriest,WarriorvsPriest played,WarriorvsShaman,WarriorvsShaman played,WarriorvsWarlock,WarriorvsWarlock played,Date,Tournament nº,Url
1,0.42857142857142855,14,0.6666666666666666,3,0.625,16,0.5789473684210527,19,0.5714285714285714,7,1.0,4,0.6666666666666666,3,0.8571428571428571,7,0.4,20,0.5714285714285714,14,0.5555555555555556,9,0.5178571428571429,56,0.6744186046511628,43,0.9,10,0.42857142857142855,14,0.7407407407407407,27,0.4827586206896552,29,0.2903225806451613,31,0.3333333333333333,3,0.4444444444444444,9,0.6470588235294118,17,0.2727272727272727,11,0.5,2,0.5,2,0.4,5,0.2857142857142857,7,0.3076923076923077,13,0.375,16,0.4821428571428572,56,0.35294117647058826,17,0.5636363636363636,55,0.5,22,0.5,18,0.3333333333333333,9,0.6363636363636364,22,0.5882352941176471,34,0.42105263157894735,19,0.32558139534883723,43,0.7272727272727273,11,0.4363636363636363,55,0.6,5,0.3809523809523809,21,0.8181818181818182,11,0.6,25,0.4545454545454545,11,0.42857142857142855,7,0.1,10,0.5,2,0.5,22,0.4,5,0.625,8,0.5,4,1.0,3,0.5714285714285714,7,0.0,4,0.5714285714285714,14,0.5,2,0.5,18,0.6190476190476191,21,0.375,8,0.6666666666666666,3,0.6,10,0.5238095238095238,21,0.3333333333333333,3,0.25925925925925924,27,0.6,5,0.6666666666666666,9,0.18181818181818185,11,0.5,4,0.3333333333333333,3,0.25,12,0.3333333333333333,15,0.14285714285714285,7,0.5172413793103449,29,0.7142857142857143,7,0.3636363636363637,22,0.4,25,0.0,3,0.4,10,0.75,12,0.5,20,0.6,20,0.7096774193548387,31,0.6923076923076923,13,0.4117647058823529,34,0.5454545454545454,11,0.42857142857142855,7,0.4761904761904762,21,0.6666666666666666,15,0.5,20,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details
2,0.3333333333333333,15,0.2727272727272727,11,0.5384615384615384,26,0.3333333333333333,12,0.5,10,0.7142857142857143,14,0.6,5,0.2727272727272727,11,0.5416666666666666,24,0.6666666666666666,15,0.5,12,0.4871794871794872,78,0.6585365853658537,41,0.625,24,0.6363636363636364,44,0.6666666666666666,12,0.5789473684210527,38,0.4117647058823529,51,0.7272727272727273,11,0.5,12,0.5675675675675675,37,0.4736842105263158,19,0.2307692307692308,13,0.5263157894736842,19,0.4,10,0.6,10,0.3181818181818182,22,0.4615384615384616,26,0.5128205128205128,78,0.4324324324324325,37,0.4430379746835443,79,0.5625,32,0.6222222222222222,45,0.55,40,0.6590909090909091,44,0.6621621621621622,74,0.6666666666666666,12,0.3414634146341464,41,0.5263157894736842,19,0.5569620253164557,79,0.6666666666666666,12,0.34375,32,0.5333333333333333,15,0.42857142857142855,21,0.18181818181818185,33,0.5,10,0.375,24,0.7692307692307693,13,0.4375,32,0.3333333333333333,12,0.56,25,0.4,5,0.25,16,0.4,25,0.2857142857142857,14,0.3636363636363637,44,0.4736842105263158,19,0.37777777777777777,45,0.65625,32,0.44,25,0.5555555555555556,9,0.4888888888888889,45,0.6761904761904762,105,0.4,5,0.3333333333333333,12,0.6,10,0.45,40,0.4666666666666667,15,0.6,5,0.4444444444444444,9,0.2631578947368421,19,0.2608695652173913,23,0.7272727272727273,11,0.42105263157894735,38,0.4,10,0.3409090909090909,44,0.5714285714285714,21,0.75,16,0.5111111111111111,45,0.7368421052631579,19,0.44,50,0.4583333333333333,24,0.5882352941176471,51,0.6818181818181818,22,0.33783783783783783,74,0.8181818181818182,33,0.6,25,0.3238095238095238,105,0.7391304347826086,23,0.56,50,"Friday, August 7th 2020",2,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-2/5f12435e0770843f77f7c3be/info?infoTab=details
3,0.5238095238095238,21,0.5,12,0.4838709677419355,31,0.5,18,0.8,10,0.375,16,0.5,6,0.5,14,0.4545454545454545,33,0.4761904761904762,21,0.35714285714285715,14,0.35365853658536583,82,0.5,34,0.6470588235294118,17,0.4090909090909091,44,0.7142857142857143,14,0.4444444444444444,18,0.3902439024390244,41,0.5,12,0.6428571428571429,14,0.3333333333333333,30,0.5333333333333333,15,0.5,4,0.16666666666666666,12,0.2,5,0.3636363636363637,11,0.32142857142857145,28,0.5161290322580645,31,0.6463414634146342,82,0.6666666666666666,30,0.5652173913043478,69,0.6666666666666666,30,0.41025641025641024,39,0.6857142857142857,35,0.55,20,0.6944444444444444,72,0.5,18,0.5,34,0.4666666666666667,15,0.43478260869565216,69,0.5714285714285714,14,0.3793103448275862,29,0.4615384615384616,13,0.6521739130434783,23,0.3478260869565217,23,0.2,10,0.35294117647058826,17,0.5,4,0.3333333333333333,30,0.42857142857142855,14,0.5454545454545454,11,0.5,2,0.375,8,0.19047619047619047,21,0.625,16,0.5909090909090909,44,0.8333333333333334,12,0.5897435897435898,39,0.6206896551724138,29,0.4545454545454545,11,0.4117647058823529,17,0.5384615384615384,13,0.6619718309859155,71,0.5,6,0.2857142857142857,14,0.8,5,0.3142857142857143,35,0.5384615384615384,13,0.5,2,0.5882352941176471,17,0.75,8,0.2727272727272727,11,0.5,14,0.5555555555555556,18,0.6363636363636364,11,0.45,20,0.3478260869565217,23,0.625,8,0.4615384615384616,13,0.25,8,0.625,24,0.5454545454545454,33,0.6097560975609756,41,0.6785714285714286,28,0.3055555555555556,72,0.6521739130434783,23,0.8095238095238095,21,0.3380281690140845,71,0.7272727272727273,11,0.375,24,"Friday, August 7th 2020",3,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-3/5f12435e0770843f77f7c3bf/info?infoTab=details
4,0.4166666666666667,12,0.375,8,0.4411764705882353,34,0.3636363636363637,11,0.3333333333333333,9,0.7142857142857143,7,0.5,0,0.6,5,0.56,25,0.5833333333333334,12,0.7777777777777778,9,0.425531914893617,47,0.5833333333333334,24,0.6,5,0.5652173913043478,23,0.4,5,0.42857142857142855,7,0.4,25,0.625,8,0.2222222222222222,9,0.5769230769230769,26,0.4666666666666667,15,0.0,1,0.4444444444444444,9,1.0,1,0.0,1,0.3809523809523809,21,0.5588235294117647,34,0.5744680851063829,47,0.4230769230769231,26,0.5106382978723404,47,0.4642857142857143,28,0.4047619047619048,42,0.5555555555555556,18,0.6,20,0.7457627118644068,59,0.6363636363636364,11,0.4166666666666667,24,0.5333333333333333,15,0.4893617021276596,47,0.6,10,0.3,30,1.0,6,0.4,10,0.25,12,0.6666666666666666,9,0.4,5,1.0,1,0.5357142857142857,28,0.4,10,0.6111111111111112,18,0.5,2,1.0,2,0.3333333333333333,12,0.2857142857142857,7,0.43478260869565216,23,0.5555555555555556,9,0.5952380952380952,42,0.7,30,0.3888888888888889,18,0.8333333333333334,6,0.42857142857142855,14,0.6792452830188679,53,0.5,0,0.6,5,0.0,1,0.4444444444444444,18,0.0,6,0.5,2,0.16666666666666666,6,0.3333333333333333,3,0.5,8,0.4,5,0.5714285714285714,7,1.0,1,0.4,20,0.6,10,0.0,2,0.5714285714285714,14,0.6666666666666666,3,0.125,8,0.44,25,0.6,25,0.6190476190476191,21,0.2542372881355932,59,0.75,12,0.6666666666666666,12,0.3207547169811321,53,0.5,8,0.875,8,"Friday, August 7th 2020",4,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-4/5f12435e0770843f77f7c3c0/info?infoTab=details
5,0.5714285714285714,14,0.3636363636363637,11,0.4473684210526316,38,0.4,10,0.625,8,0.5454545454545454,11,0.5,2,0.6666666666666666,3,0.4090909090909091,22,0.42857142857142855,14,0.5714285714285714,14,0.3953488372093023,43,0.5625,16,0.6,5,0.6190476190476191,21,0.75,4,0.3333333333333333,9,0.2857142857142857,21,0.6363636363636364,11,0.42857142857142855,14,0.68,50,0.2727272727272727,11,0.0,2,0.5,22,0.3333333333333333,3,0.5,8,0.2608695652173913,23,0.5526315789473685,38,0.6046511627906976,43,0.32,50,0.6944444444444444,36,0.7333333333333333,15,0.41818181818181815,55,0.5454545454545454,11,0.4736842105263158,19,0.5555555555555556,45,0.6,10,0.4375,16,0.7272727272727273,11,0.3055555555555556,36,0.5,8,0.4848484848484849,33,0.0,1,0.5,10,0.21428571428571427,14,0.375,8,0.4,5,1.0,2,0.26666666666666666,15,0.5,8,0.4,10,1.0,1,0.6,5,0.5454545454545454,11,0.4545454545454545,11,0.3809523809523809,21,0.5,22,0.5818181818181818,55,0.5151515151515151,33,0.6,10,0.6666666666666666,6,0.375,16,0.7777777777777778,45,0.5,2,0.25,4,0.6666666666666666,3,0.4545454545454545,11,1.0,1,0.0,1,0.3333333333333333,6,0.75,4,0.14285714285714285,7,0.3333333333333333,3,0.6666666666666666,9,0.5,8,0.5263157894736842,19,0.5,10,0.4,5,0.625,16,0.25,4,0.375,8,0.5909090909090909,22,0.7142857142857143,21,0.7391304347826086,23,0.4444444444444444,45,0.7857142857142857,14,0.4545454545454545,11,0.2222222222222222,45,0.8571428571428571,7,0.625,8,"Friday, August 7th 2020",5,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-5/5f12435e0770843f77f7c3c1/info?infoTab=details
6,0.3333333333333333,27,0.6086956521739131,23,0.5081967213114754,61,0.6666666666666666,18,0.6470588235294118,17,0.5862068965517241,29,0.8,10,0.4,20,0.5454545454545454,55,0.6666666666666666,27,0.56,25,0.39130434782608703,69,0.5,20,0.6666666666666666,9,0.5892857142857143,56,0.5,12,0.4482758620689655,29,0.3207547169811321,53,0.39130434782608703,23,0.44,25,0.4938271604938271,81,0.5555555555555556,9,0.18181818181818185,11,0.6176470588235294,34,0.4444444444444444,9,0.7777777777777778,9,0.4,45,0.4918032786885246,61,0.6086956521739131,69,0.5061728395061729,81,0.5098039215686274,51,0.5333333333333333,45,0.5873015873015873,63,0.6060606060606061,33,0.625,48,0.5604395604395604,91,0.3333333333333333,18,0.5,20,0.4444444444444444,9,0.4901960784313725,51,0.6153846153846154,13,0.34375,32,0.5714285714285714,7,0.3,10,0.21052631578947367,19,0.35294117647058826,17,0.3333333333333333,9,0.8181818181818182,11,0.4666666666666667,45,0.38461538461538464,13,0.3125,16,0.6666666666666666,6,0.4545454545454545,11,0.5,26,0.4137931034482759,29,0.4107142857142857,56,0.38235294117647056,34,0.4126984126984127,63,0.65625,32,0.6875,16,0.4705882352941176,17,0.7368421052631579,19,0.5697674418604651,86,0.2,10,0.5,12,0.5555555555555556,9,0.3939393939393939,33,0.42857142857142855,7,0.3333333333333333,6,0.5294117647058824,17,0.2727272727272727,11,0.3157894736842105,19,0.6,20,0.5517241379310345,29,0.2222222222222222,9,0.375,48,0.7,10,0.5454545454545454,11,0.2631578947368421,19,0.7272727272727273,11,0.3863636363636364,44,0.4545454545454545,55,0.6792452830188679,53,0.6,45,0.4395604395604396,91,0.7894736842105263,19,0.5,26,0.4302325581395349,86,0.6842105263157895,19,0.6136363636363636,44,"Saturday, August 8th 2020",6,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-6/5f12435e0770843f77f7c3c2/info?infoTab=details
7,0.6285714285714286,35,0.5652173913043478,23,0.5194805194805194,77,0.5333333333333333,15,0.6818181818181818,22,0.5813953488372093,43,0.7058823529411765,17,0.3157894736842105,19,0.6326530612244898,49,0.37142857142857133,35,0.59375,32,0.4626865671641791,67,0.5263157894736842,19,0.5172413793103449,29,0.45,60,0.4705882352941176,17,0.2222222222222222,18,0.4888888888888889,45,0.43478260869565216,23,0.40625,32,0.5428571428571428,70,0.5833333333333334,24,0.2777777777777778,18,0.5384615384615384,26,0.4,20,0.75,20,0.3137254901960784,51,0.4805194805194805,77,0.5373134328358209,67,0.4571428571428571,70,0.5476190476190477,42,0.6976744186046512,43,0.5147058823529411,68,0.5757575757575758,33,0.54,50,0.6842105263157895,95,0.4666666666666667,15,0.4736842105263158,19,0.4166666666666667,24,0.4523809523809524,42,0.4166666666666667,12,0.3636363636363637,33,0.5555555555555556,9,0.3333333333333333,9,0.35,20,0.3181818181818182,22,0.4827586206896552,29,0.7222222222222222,18,0.3023255813953488,43,0.5833333333333334,12,0.4137931034482759,29,0.6153846153846154,13,0.4444444444444444,9,0.5151515151515151,33,0.4186046511627907,43,0.55,60,0.4615384615384616,26,0.4852941176470588,68,0.6363636363636364,33,0.5862068965517241,29,0.5294117647058824,17,0.46875,32,0.75,80,0.29411764705882354,17,0.5294117647058824,17,0.6,20,0.42424242424242425,33,0.4444444444444444,9,0.38461538461538464,13,0.4705882352941176,17,0.5454545454545454,11,0.5,12,0.6842105263157895,19,0.7777777777777778,18,0.25,20,0.46,50,0.6666666666666666,9,0.5555555555555556,9,0.53125,32,0.4545454545454545,11,0.5,34,0.3673469387755102,49,0.5111111111111111,45,0.6862745098039216,51,0.3157894736842105,95,0.65,20,0.4848484848484849,33,0.25,80,0.5,12,0.5,34,"Saturday, August 8th 2020",7,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-7/5f12435e0770843f77f7c3c3/info?infoTab=details
8,0.4782608695652174,23,0.3636363636363637,11,0.5111111111111111,45,0.5714285714285714,14,0.9166666666666666,12,0.42857142857142855,28,0.8333333333333334,6,0.5,18,0.7222222222222222,36,0.5217391304347826,23,0.5263157894736842,19,0.4477611940298508,67,0.375,40,0.53125,32,0.5813953488372093,43,0.8,15,0.6538461538461539,26,0.4634146341463415,41,0.6363636363636364,11,0.4736842105263158,19,0.4651162790697674,43,0.625,8,0.42857142857142855,7,0.42857142857142855,21,0.6666666666666666,12,0.5833333333333334,12,0.3448275862068966,29,0.4888888888888889,45,0.5522388059701493,67,0.5348837209302325,43,0.4918032786885246,61,0.7352941176470589,34,0.4615384615384616,52,0.4827586206896552,29,0.6428571428571429,28,0.6428571428571429,56,0.42857142857142855,14,0.625,40,0.375,8,0.5081967213114754,61,0.875,16,0.5135135135135135,37,0.75,8,0.4,15,0.2777777777777778,18,0.08333333333333333,12,0.46875,32,0.5714285714285714,7,0.2647058823529412,34,0.125,16,0.6206896551724138,29,0.4,10,0.4545454545454545,11,0.42424242424242425,33,0.5714285714285714,28,0.4186046511627907,43,0.5714285714285714,21,0.5384615384615384,52,0.4864864864864865,37,0.3793103448275862,29,0.6470588235294118,17,0.4736842105263158,19,0.5454545454545454,55,0.16666666666666666,6,0.2,15,0.3333333333333333,12,0.5172413793103449,29,0.25,8,0.6,10,0.35294117647058826,17,0.5,16,0.2222222222222222,9,0.5,18,0.3461538461538461,26,0.4166666666666667,12,0.35714285714285715,28,0.6,15,0.5454545454545454,11,0.5263157894736842,19,0.5,16,0.35714285714285715,14,0.2777777777777778,36,0.5365853658536586,41,0.6551724137931034,29,0.35714285714285715,56,0.7222222222222222,18,0.5757575757575758,33,0.4545454545454545,55,0.7777777777777778,9,0.6428571428571429,14,"Saturday, August 8th 2020",8,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-8/5f12435e0770843f77f7c3c4/info?infoTab=details
9,0.38,50,0.6666666666666666,9,0.4857142857142857,70,0.5238095238095238,21,0.7391304347826086,23,0.4,45,0.7692307692307693,13,0.7142857142857143,14,0.6590909090909091,44,0.62,50,0.8666666666666667,15,0.4328358208955224,67,0.5625,16,0.5,22,0.490566037735849,53,0.6,10,0.75,16,0.5151515151515151,33,0.3333333333333333,9,0.13333333333333333,15,0.42857142857142855,28,0.3333333333333333,6,0.2857142857142857,14,0.5,8,0.0,3,0.3333333333333333,6,0.3636363636363637,11,0.5142857142857142,70,0.5671641791044776,67,0.5714285714285714,28,0.4444444444444444,27,0.6060606060606061,33,0.4142857142857143,70,0.75,12,0.65,20,0.58,50,0.4761904761904762,21,0.4375,16,0.6666666666666666,6,0.5555555555555556,27,0.4545454545454545,11,0.5769230769230769,26,1.0,1,0.5,8,0.125,8,0.2608695652173913,23,0.5,22,0.7142857142857143,14,0.3939393939393939,33,0.5454545454545454,11,0.6206896551724138,29,0.6666666666666666,3,0.4705882352941176,17,0.6153846153846154,26,0.6,45,0.5094339622641509,53,0.5,8,0.5857142857142857,70,0.4230769230769231,26,0.3793103448275862,29,0.42857142857142855,14,0.44,25,0.5116279069767442,43,0.2307692307692308,13,0.4,10,1.0,3,0.25,12,0.0,1,0.3333333333333333,3,0.5714285714285714,14,0.3333333333333333,3,0.4,5,0.2857142857142857,14,0.25,16,0.6666666666666666,6,0.35,20,0.5,8,0.5294117647058824,17,0.56,25,0.6666666666666666,3,0.4761904761904762,21,0.3409090909090909,44,0.4848484848484849,33,0.6363636363636364,11,0.42,50,0.875,8,0.38461538461538464,26,0.4883720930232558,43,0.6,5,0.5238095238095238,21,"Saturday, August 8th 2020",9,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-9/5f12435e0770843f77f7c3c5/info?infoTab=details
10,0.5625,16,0.4166666666666667,12,0.4411764705882353,68,0.5833333333333334,24,0.6428571428571429,14,0.42857142857142855,35,0.7,10,0.4615384615384616,13,0.4444444444444444,27,0.4375,16,0.625,8,0.2777777777777778,36,0.7222222222222222,18,0.5,8,0.52,25,1.0,1,0.625,8,0.4666666666666667,15,0.5833333333333334,12,0.375,8,0.3225806451612903,31,0.42857142857142855,14,0.0,2,0.4545454545454545,11,0.3333333333333333,3,0.7272727272727273,11,0.09090909090909093,11,0.5588235294117647,68,0.7222222222222222,36,0.6774193548387096,31,0.5945945945945946,37,0.5882352941176471,17,0.48,50,0.3636363636363637,11,0.2857142857142857,14,0.6170212765957447,47,0.4166666666666667,24,0.2777777777777778,18,0.5714285714285714,14,0.40540540540540543,37,0.6875,16,0.3703703703703704,27,1.0,2,0.7777777777777778,9,0.2307692307692308,13,0.35714285714285715,14,0.5,8,1.0,2,0.4117647058823529,17,0.3125,16,0.2857142857142857,14,0.0,1,0.25,4,0.75,12,0.5714285714285714,35,0.48,25,0.5454545454545454,11,0.52,50,0.6296296296296297,27,0.7142857142857143,14,0.42857142857142855,7,0.3333333333333333,12,0.59375,32,0.3,10,0.0,1,0.6666666666666666,3,0.6363636363636364,11,0.0,2,1.0,1,0.5714285714285714,7,0.0,1,0.0,3,0.5384615384615384,13,0.375,8,0.2727272727272727,11,0.7142857142857143,14,0.2222222222222222,9,0.75,4,0.6666666666666666,12,1.0,1,0.5555555555555556,9,0.5555555555555556,27,0.5333333333333333,15,0.9090909090909092,11,0.3829787234042553,47,0.7692307692307693,13,0.25,12,0.40625,32,1.0,3,0.4444444444444444,9,"Saturday, August 8th 2020",10,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-10/5f12435e0770843f77f7c3c6/info?infoTab=details
