,Region,Date,Tournament nº,Url,Class,Winrate,Played
0,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Paladin,0.5698924731182796,93
270,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Druid,0.5100401606425703,249
540,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Priest,0.5247524752475248,101
630,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Shaman,0.33707865168539325,89
450,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Hunter,0.4705882352941176,68
180,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Mage,0.42028985507246375,69
720,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Warlock,0.4592592592592593,135
810,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Warrior,0.5581395348837209,172
360,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Demonhunter,0.4676616915422885,201
90,Asia,"Thursday, August 6th 2020",1,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-1/5f0d6a35bd784e7392dd336a/info?infoTab=details,Rogue,0.5536480686695279,233
271,Europe,"Friday, August 7th 2020",2,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-2/5f12435e0770843f77f7c3be/info?infoTab=details,Druid,0.5472527472527473,455
541,Europe,"Friday, August 7th 2020",2,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-2/5f12435e0770843f77f7c3be/info?infoTab=details,Priest,0.5207100591715976,338
451,Europe,"Friday, August 7th 2020",2,https://battlefy.com/hsesports/hearthstone-masters-qualifier-masters-tour-madrid-2/5f12435e0770843f77f7c3be/info?infoTab=details,Hunter,0.4444444444444444,162
